publication_year,approve,approve-with-reservations,reject
2012,66.82926829268293,21.463414634146343,11.707317073170733
2013,68.22867853795688,26.14807872539831,5.623242736644799
2014,65.8326817826427,30.80531665363565,3.3620015637216576
2015,62.861378799110454,32.616753150481834,4.52186805040771
2016,60.86434573829532,34.213685474189674,4.921968787515006
2017,55.538540071465036,38.89739663093415,5.564063297600817
2018,51.55228758169934,40.19607843137255,8.251633986928104
2019,43.74492282696995,47.15678310316815,9.0982940698619
2020,48.60751295336787,41.67746113989637,9.71502590673575
2021,43.471462079749806,46.33828511858222,10.190252801667969
2022,39.00106269925611,48.79914984059511,12.199787460148778
2023,35.30448404151165,51.61542980223223,13.080086156256119
2024,36.27899102759438,50.008464533604204,13.712544438801421
2025,36.9606720122184,49.40817105765559,13.631156930126002
